Division commander Major-General Alicia Bowers id 1000
Brigade commander Colonel Kimberly Russell id 3294
Brigade commander Colonel Lindsay Webster id 1001
Brigade commander Colonel Sebastian Lyons id 1935
Brigade commander Colonel Leon Berger id 3960
Battalion commander Lieutenant-Colonel Manjulika Dhandia id 1936
Battalion commander Lieutenant-Colonel Vinoda Inda id 3534
Battalion commander Lieutenant-Colonel Collin Fox id 3295
Battalion commander Lieutenant-Colonel Kou Kui id 3961
Battalion commander Lieutenant-Colonel Riley Maynard id 2478
Battalion commander Lieutenant-Colonel Brian Banks id 2983
Battalion commander Lieutenant-Colonel Maeva Hristov id 1559
Battalion commander Lieutenant-Colonel Dylan Baldwin id 4250
Battalion commander Lieutenant-Colonel Maanika Bhave id 1002
Company commander Captain Huo Kau id 3962
Company commander Captain Makenzie Ewing id 1560
Company commander Captain Abby Schultz id 2901
Company commander Captain Lalita Gorde id 2371
Company commander Captain Tyler Nguyen id 1003
Company commander Captain Kyle Banks id 1937
Company commander Captain Taylor Benson id 3845
Company commander Captain Ray Smith id 2479
Company commander Captain Matthieu Gruev id 1415
Company commander Captain Lorenzo Lambert id 3187
Company commander Captain Cynthia Walton id 2661
Company commander Captain Varana Dhadda id 1200
Company commander Captain Diego Ivanov id 1132
Company commander Captain Andriy Ricci id 4251
Company commander Captain Jie Chu id 4357
Company commander Captain Lou Mah id 3129
Company commander Captain Hannah Peterson id 2748
Company commander Captain Brooke Lawson id 3463
Company commander Captain Chandrakumar Kodali id 1331
Company commander Captain Kong Ji id 3296
Company commander Captain Malaya Akkineni id 1857
Company commander Captain Sean Vaughn id 2315
Company commander Captain Gor Reiter id 3390
Company commander Captain Teertha Roffyg id 2072
Company commander Captain Sanchali Oberoi id 2984
Company commander Captain Matthieu Gospodinov id 3535
Company commander Captain Gopan Chinthalapati id 3663
Company commander Captain Cole Fields id 1666
Company commander Captain Zack Simpson id 4149
Company commander Captain Erica Reid id 2248
Company commander Captain Baldev Jethani id 4066
Company commander Captain Danny Miller id 2584
Platoon commander Lieutenant Kou Jin id 1641
Platoon commander Lieutenant Richard Berry id 2435
Platoon commander Lieutenant Filip Girard id 3698
Platoon commander Lieutenant Gang Hu id 2792
Platoon commander Lieutenant Ava Wells id 2619
Platoon commander Lieutenant Bei Bing id 2209
Platoon commander Lieutenant Ethan Harris id 3054
Platoon commander Lieutenant Samuel Cross id 4396
Platoon commander Lieutenant Chitragandha Asthana id 1201
Platoon commander Lieutenant Shang Hang id 1004
Platoon commander Lieutenant Nam Bu id 2480
Platoon commander Lieutenant Nikola Slavkov id 2048
Platoon commander Lieutenant Cheyenne Nicholson id 2585
Platoon commander Lieutenant Morgan Peterson id 4438
Platoon commander Lieutenant Lin Mar id 3963
Platoon commander Lieutenant Tobias Fischer id 3365
Platoon commander Lieutenant Heramba Khetarpal id 1148
Platoon commander Lieutenant Deng Chu id 4150
Platoon commander Lieutenant Mykyta Semyonov id 1133
Platoon commander Lieutenant Brianna Martinez id 3020
Platoon commander Lieutenant Purujit Sanghvi id 3464
Platoon commander Lieutenant Mason Webb id 1165
Platoon commander Lieutenant Aradhana Alla id 1482
Platoon commander Lieutenant Na Duan id 3809
Platoon commander Lieutenant Trailokva Uppalapati id 3559
Platoon commander Lieutenant Ci Cao id 1465
Platoon commander Lieutenant Dakshesh Deol id 1902
Platoon commander Lieutenant Xie Wan id 3221
Platoon commander Lieutenant Jie Fei id 4168
Platoon commander Lieutenant Quan Shi id 2819
Platoon commander Lieutenant Xin Long id 4029
Platoon commander Lieutenant Francesco Koller id 2288
Platoon commander Lieutenant Cristian Tillman id 1781
Platoon commander Lieutenant Muo Guan id 4213
Platoon commander Lieutenant Mason Taylor id 2372
Platoon commander Lieutenant Denys Nikolov id 3999
Platoon commander Lieutenant Lea Martin id 3418
Platoon commander Lieutenant Sadhana Dutta id 1362
Platoon commander Lieutenant Viktor Montgomery id 2720
Platoon commander Lieutenant Jiang Chang id 3163
Platoon commander Lieutenant Erica Molina id 2454
Platoon commander Lieutenant Dmitry Bonnet id 4252
Platoon commander Lieutenant Clemence Ebner id 1299
Platoon commander Lieutenant Nabhi Lokku id 3130
Platoon commander Lieutenant Chloe Haas id 3766
Platoon commander Lieutenant Ou Gwock id 1332
Platoon commander Lieutenant Lomberto Ford id 3147
Platoon commander Lieutenant Ci Bei id 1962
Platoon commander Lieutenant Enzo Bojidarov id 1667
Platoon commander Lieutenant Bhooshit Guha id 2700
Platoon commander Lieutenant Mahmud Shaha id 2685
Platoon commander Lieutenant Jue Guan id 4295
Platoon commander Lieutenant Dayanita Chacko id 2249
Platoon commander Lieutenant Ratnalekha Ashwekar id 3507
Platoon commander Lieutenant Charles Tate id 3332
Platoon commander Lieutenant Clarisse Simeonov id 2662
Platoon commander Lieutenant Dong Chang id 3982
Platoon commander Lieutenant Jasmine Bond id 3188
Platoon commander Lieutenant Di Kan id 1416
Platoon commander Lieutenant Andrea Luna id 3491
Platoon commander Lieutenant Guo Chu id 3903
Platoon commander Lieutenant San Loong id 2019
Platoon commander Lieutenant Qi Dou id 1218
Platoon commander Lieutenant Jue Lau id 3072
Platoon commander Lieutenant Jasmine King id 1432
Platoon commander Lieutenant Gor Dupont id 4358
Platoon commander Lieutenant Ritu Desai id 3536
Platoon commander Lieutenant Micah Patrick id 3732
Platoon commander Lieutenant Adripathi Kapri id 4331
Platoon commander Lieutenant Gajanan Ahsen id 3108
Platoon commander Lieutenant Connor Callahan id 1387
Platoon commander Lieutenant Alex Murphy id 1938
Platoon commander Lieutenant Dang Gong id 1996
Platoon commander Lieutenant Wang Chai id 1261
Platoon commander Lieutenant Wei Le id 2749
Platoon commander Lieutenant Julia Cohen id 2131
Platoon commander Lieutenant Jennifer Hayes id 4197
Platoon commander Lieutenant Fei Fu id 1711
Platoon commander Lieutenant Padmalaya Amin id 3258
Platoon commander Lieutenant Valerie Cherry id 1525
Platoon commander Lieutenant Narek Haas id 2902
Platoon commander Lieutenant Gavin Sharp id 2955
Platoon commander Lieutenant Logan Goodman id 3587
Platoon commander Lieutenant Leandro Costa id 1561
Platoon commander Lieutenant Jonas Borimirov id 2173
Platoon commander Lieutenant Michael Perez id 1596
Platoon commander Lieutenant Abhivira Alluri id 4067
Platoon commander Lieutenant Chakrika Bardeskar id 4523
Platoon commander Lieutenant Vibha Gujar id 2541
Platoon commander Lieutenant Laura Murray id 1749
Platoon commander Lieutenant Christina Cherry id 1823
Platoon commander Lieutenant Richard Burgess id 2339
Platoon commander Lieutenant Lang Meng id 2985
Platoon commander Lieutenant Hope Ferguson id 4481
Platoon commander Lieutenant Catherine Kennedy id 3940
Platoon commander Lieutenant Maxence Goossens id 1858
