Corps commander Lieutenant-General Ali Dewra id 1000
Division commander Major-General Ren Tu id 4551
Division commander Major-General Luo Fei id 6634
Division commander Major-General Valeria Strong id 1001
Brigade commander Colonel Fernando Davenport id 5483
Brigade commander Colonel Andrei Kremenliev id 8941
Brigade commander Colonel Dakota Moreno id 6635
Brigade commander Colonel Natalie Mack id 9685
Brigade commander Colonel Andriy Kostov id 4552
Brigade commander Colonel Maella Stefanov id 7741
Brigade commander Colonel Joshua Schneider id 1002
Brigade commander Colonel Maya Howard id 3876
Brigade commander Colonel Mason Bennett id 2079
Battalion commander Lieutenant-Colonel Joe Goodwin id 9225
Battalion commander Lieutenant-Colonel Erica Peters id 4152
Battalion commander Lieutenant-Colonel Maeva Yankov id 9686
Battalion commander Lieutenant-Colonel Lalitamohana Dashmukhe id 5212
Battalion commander Lieutenant-Colonel Zhu Ban id 10305
Battalion commander Lieutenant-Colonel Yanis Dubois id 6172
Battalion commander Lieutenant-Colonel Nolan Underwood id 5484
Battalion commander Lieutenant-Colonel Gu Khoo id 4810
Battalion commander Lieutenant-Colonel Dominic Morrow id 2760
Battalion commander Lieutenant-Colonel Denys Jacobs id 1733
Battalion commander Lieutenant-Colonel Dinesh Gautam id 7158
Battalion commander Lieutenant-Colonel Tuo Cong id 6636
Battalion commander Lieutenant-Colonel Claire Morgan id 7742
Battalion commander Lieutenant-Colonel Cody Landry id 5800
Battalion commander Lieutenant-Colonel San Da id 3877
Battalion commander Lieutenant-Colonel Mitchell Fuller id 7366
Battalion commander Lieutenant-Colonel Ushakiran Manhas id 8216
Battalion commander Lieutenant-Colonel Nikola Wallner id 2080
Battalion commander Lieutenant-Colonel Alex Miller id 8942
Battalion commander Lieutenant-Colonel Layla Lowery id 10063
Battalion commander Lieutenant-Colonel Jogindra Patel id 3402
Battalion commander Lieutenant-Colonel Fa Feng id 4553
Battalion commander Lieutenant-Colonel Ahmed De Smet id 1295
Battalion commander Lieutenant-Colonel Rudrapriya Negi id 8404
Battalion commander Lieutenant-Colonel Ashley Drake id 1003
Company commander Captain Igon Hasanov id 10231
Company commander Captain Cindy Rivers id 3403
Company commander Captain Pablo Brunner id 5326
Company commander Captain Ji Chi id 2467
Company commander Captain Luca Bauer id 4653
Company commander Captain Bhakti Boghara id 1148
Company commander Captain Sheng Mei id 8575
Company commander Captain Leandro Denev id 6777
Company commander Captain Shalmali tree Koparde id 3805
Company commander Captain Fa Guan id 8043
Company commander Captain Nishithini Gowarikar id 9500
Company commander Captain Vibhavari Chinthalapati id 4728
Company commander Captain Jennifer Stone id 7367
Company commander Captain Joshua Herrera id 8943
Company commander Captain Eric Gonzales id 5213
Company commander Captain Adrian Robert id 1296
Company commander Captain Tyler Woods id 6282
Company commander Captain Avery Morton id 4413
Company commander Captain Brian Lamb id 1734
Company commander Captain Aruni Donepudi id 8696
Company commander Captain Tuo Lui id 2616
Company commander Captain Jayden Martin id 9635
Company commander Captain Mariya Koller id 6874
Company commander Captain Fei Deer id 4015
Company commander Captain Leija Bauer id 4554
Company commander Captain Jenny Davis id 10716
Company commander Captain Clara Bozhinov id 7069
Company commander Captain Bian Lim id 10064
Company commander Captain Christoph Shaw id 1919
Company commander Captain Maya Wolfe id 2179
Company commander Captain Ascharya Awaghan id 3567
Company commander Captain Amber Tyler id 5665
Company commander Captain Lorenzo Maes id 2081
Company commander Captain Clemence Winkler id 7922
Company commander Captain Landon Ortiz id 8348
Company commander Captain Delaney Osborn id 9961
Company commander Captain Maximiliano Haas id 5563
Company commander Captain John Anderson id 3627
Company commander Captain Tobias Lambert id 5485
Company commander Captain Vu Hui id 4459
Company commander Captain Igon Ebner id 7203
Company commander Captain Dang Hiu id 1662
Company commander Captain Ashley Adkins id 8822
Company commander Captain Prince Brewer id 7828
Company commander Captain Fa Ong id 8158
Company commander Captain Jayden Bozhanov id 9687
Company commander Captain Leela Batra id 6464
Company commander Captain Kuntal Adani id 3463
Company commander Captain Tuo Woo id 6173
Company commander Captain Andrei Hofer id 2311
Company commander Captain Aaron Smith id 5731
Company commander Captain Derek Boyer id 6536
Company commander Captain Yash Aggarwal id 7159
Company commander Captain Hunter Hogan id 1880
Company commander Captain Mark Kane id 9766
Company commander Captain Sophie Crawford id 5801
Company commander Captain Pei Lau id 10306
Company commander Captain Nikolai Iliev id 3015
Company commander Captain Jian Chu id 4811
Company commander Captain Shelby Luna id 4851
Company commander Captain Abigail Arnold id 7562
Company commander Captain Kanchan Dayal id 9093
Company commander Captain Lei Pi id 4975
Company commander Captain Caitlyn Montgomery id 2761
Company commander Captain Tim Blair id 8405
Company commander Captain Bankim Raoff id 10433
Company commander Captain Ar Cai id 10835
Company commander Captain Amit Alla id 7652
Company commander Captain Umrao Holkar id 6637
Company commander Captain Josh Barnes id 9381
Company commander Captain Disha Gadiraju id 4153
Company commander Captain Kang Gong id 3878
Company commander Captain Han Dan id 2850
Company commander Captain Sara Johnston id 5977
Company commander Captain Thibault Kostov id 6325
Company commander Captain Eduardo Duran id 6052
Company commander Captain Pablo Fischer id 3247
Company commander Captain Kong Phuong id 3201
Company commander Captain Nam Gong id 9226
Company commander Captain Lei Der id 8274
Company commander Captain Andrei Kanchev id 10538
Company commander Captain Prasun Purang id 6131
Company commander Captain Tobias Dubois id 9148
Company commander Captain Daniel Hall id 8494
Company commander Captain Viktor Cunningham id 7743
Company commander Captain Ushakiran Mathure id 1418
Company commander Captain Kelly Moss id 7524
Company commander Captain Joel Hunter id 8217
Company commander Captain Garrett Parker id 9274
Company commander Captain Mary Brooks id 1497
Company commander Captain Ethan Jenkins id 1605
Company commander Captain Amy Hawkins id 1004
Company commander Captain Clarisse Rossi id 5174
Company commander Captain Laasya Asam id 4278
Platoon commander Lieutenant Sofija Uzunov id 6053
Platoon commander Lieutenant Kua Hou id 6371
Platoon commander Lieutenant Jada Fitzgerald id 1881
Platoon commander Lieutenant Titiksha Khatri id 1920
Platoon commander Lieutenant Yann Winkler id 6906
Platoon commander Lieutenant Yekaterina Mihaylov id 6036
Platoon commander Lieutenant Jesse Jefferson id 1463
Platoon commander Lieutenant Ci Chai id 5732
Platoon commander Lieutenant Deepanwita Amra id 1901
Platoon commander Lieutenant Rachel Ramos id 3692
Platoon commander Lieutenant Tanner Campos id 6638
Platoon commander Lieutenant Kalindi Bhave id 4306
Platoon commander Lieutenant Prince Brewer id 8438
Platoon commander Lieutenant Enzo Moser id 10135
Platoon commander Lieutenant Feng Chou id 4460
Platoon commander Lieutenant Hanumant Champatiray id 10153
Platoon commander Lieutenant Lei Bo id 10065
Platoon commander Lieutenant Nicholas Duncan id 1419
Platoon commander Lieutenant Summer Casey id 2036
Platoon commander Lieutenant Jian Qu id 3628
