Army commander General Lavali Kunala id 1000
Corps commander Lieutenant-General Mary Winters id 7253
Corps commander Lieutenant-General Joel Harrington id 1001
Division commander Major-General Cody Farmer id 2979
Division commander Major-General Ion Martin id 11717
Division commander Major-General Viktoria Wallner id 5778
Division commander Major-General Clara Stoichkov id 10750
Division commander Major-General Hannah Turner id 1002
Division commander Major-General Cynthia Wilcox id 7254
Brigade commander Colonel Alex Walker id 5779
Brigade commander Colonel Huo Chi id 11718
Brigade commander Colonel Hugo Mayer id 2980
Brigade commander Colonel Ajala Ahuja id 3920
Brigade commander Colonel Jalen Morin id 10129
Brigade commander Colonel Raphael Lang id 10751
Brigade commander Colonel Isaiah Tran id 13926
Brigade commander Colonel Kimberly Ryan id 7255
Brigade commander Colonel Vidyul Jindal id 6895
Brigade commander Colonel Christoph King id 12605
Brigade commander Colonel Yanis Steiner id 2169
Brigade commander Colonel Christopher Cole id 9160
Brigade commander Colonel Chandani Bhathheja id 1003
Brigade commander Colonel Jayden Borimirov id 8368
Brigade commander Colonel Khazana Sarbadhikari id 11213
Brigade commander Colonel Alejandro Maier id 4804
Battalion commander Lieutenant-Colonel Melissa Barnett id 11294
Battalion commander Lieutenant-Colonel Min Mai id 1283
Battalion commander Lieutenant-Colonel Ashton Bowers id 3921
Battalion commander Lieutenant-Colonel Natty Bennett id 7256
Battalion commander Lieutenant-Colonel Yann Jacobs id 5780
Battalion commander Lieutenant-Colonel Bakula Chhapola id 5374
Battalion commander Lieutenant-Colonel Gor Maes id 12338
Battalion commander Lieutenant-Colonel Evelyn Wong id 4474
Battalion commander Lieutenant-Colonel Harini Dixit id 10494
Battalion commander Lieutenant-Colonel Baruni Dalvi id 12114
Battalion commander Lieutenant-Colonel Clemence Bertrand id 1763
Battalion commander Lieutenant-Colonel Puo Jing id 4805
Battalion commander Lieutenant-Colonel Filip Leitner id 11022
Battalion commander Lieutenant-Colonel Ding Dan id 11719
Battalion commander Lieutenant-Colonel Andriy Claes id 2170
Battalion commander Lieutenant-Colonel Da An id 11214
Battalion commander Lieutenant-Colonel Andrei Larson id 9676
Battalion commander Lieutenant-Colonel Ahmed Binder id 7453
Battalion commander Lieutenant-Colonel Indrasena Bhave id 9161
Battalion commander Lieutenant-Colonel Jordan Pena id 2981
Battalion commander Lieutenant-Colonel Sophie Lambert id 10752
Battalion commander Lieutenant-Colonel Damayanti Akkineni id 6263
Battalion commander Lieutenant-Colonel Abhidi Chandel id 8884
Battalion commander Lieutenant-Colonel Aslesha Borraju id 2452
Battalion commander Lieutenant-Colonel Anuradha Walia id 13927
Battalion commander Lieutenant-Colonel Disha Alluri id 6896
Battalion commander Lieutenant-Colonel Jennifer Berry id 14708
Battalion commander Lieutenant-Colonel Lomberto Weaver id 3637
Battalion commander Lieutenant-Colonel Leandro Borimirov id 7050
Battalion commander Lieutenant-Colonel Alejandro Volkov id 13506
Battalion commander Lieutenant-Colonel Timothy Rogers id 7999
Battalion commander Lieutenant-Colonel Lindsey Aguilar id 10130
Battalion commander Lieutenant-Colonel Natty Hall id 14508
Battalion commander Lieutenant-Colonel Shakyasinha Bhave id 8369
Battalion commander Lieutenant-Colonel Vincent Smith id 12606
Battalion commander Lieutenant-Colonel Jesse Hammond id 12944
Battalion commander Lieutenant-Colonel Carson House id 1004
Company commander Captain Aiden Nelson id 9376
Company commander Captain Ar Gou id 9924
Company commander Captain Raka Gowda id 7123
Company commander Captain Noah Willems id 13603
Company commander Captain Hirendra Hasija id 3710
Company commander Captain Dariya Bruno id 1764
Company commander Captain Pooja Dutta id 7365
Company commander Captain Bryce Gibson id 6009
Company commander Captain Arghya Chhapola id 13928
Company commander Captain Alhad Hazare id 2009
Company commander Captain Bhavana Chopra id 2908
Company commander Captain Jue Cuan id 1513
Company commander Captain Trevor Wagner id 8104
Company commander Captain Han Li id 10315
Company commander Captain Joseph Patterson id 6793
Company commander Captain Mugdha Kottieth id 4961
Company commander Captain Luca Mayer id 8273
Company commander Captain Padmavati Gautam id 4691
Company commander Captain Kyle Cummings id 11215
Company commander Captain Mahindra Bidawat id 4806
Company commander Captain Lindsay Fox id 14630
Company commander Captain Dmitry Stoev id 6959
Company commander Captain Han Gwock id 8751
Company commander Captain Yanis Trifonov id 4137
Company commander Captain Faiyaz Katakam id 3381
Company commander Captain Mao Koo id 10056
Company commander Captain Austin Hill id 9249
Company commander Captain Shagufta Capri id 11551
Company commander Captain Kenneth Bryan id 13217
Company commander Captain Xing Ge id 14509
Company commander Captain Ethan Wright id 14906
Company commander Captain Jaden Copeland id 12264
Company commander Captain Jackson Zimmerman id 3638
Company commander Captain Pong Thian id 4078
Company commander Captain Bian Chao id 13507
Company commander Captain Ezio Weber id 7528
Company commander Captain Ding Chai id 7051
Company commander Captain Dou Cong id 1200
Company commander Captain Alyssa Rogers id 6264
Company commander Captain Daniela Hurst id 8823
Company commander Captain Amy Hart id 10644
Company commander Captain Ling Wang id 12841
Company commander Captain Xie Jiang id 13739
Company commander Captain Joel Kadakia id 14024
Company commander Captain Neelkanth Awaghan id 7913
Company commander Captain Dou Deng id 2586
Company commander Captain Amitesh Dewangan id 12115
Company commander Captain Chintanika Chapaneri id 12417
Company commander Captain Dao Chang id 9677
Company commander Captain Will Gonzalez id 12339
Company commander Captain Vu Chan id 9984
Company commander Captain Paige Pearson id 5375
Company commander Captain Parindra Panchal Luhar id 8951
Company commander Captain Ambuda Bagga id 11405
Company commander Captain Jeremy Heath id 3775
Company commander Captain Sual Annaladasula id 9557
Company commander Captain Tilaka Jeldi id 11253
Company commander Captain Dao Chen id 9020
Company commander Captain Chloe Morrison id 12728
Company commander Captain Nusrat Dhadda id 3257
Company commander Captain Paul Walsh id 6645
Company commander Captain Artem Roux id 14386
Company commander Captain Dalton Davis id 3487
Company commander Captain Michelline Hayes id 1419
Company commander Captain Har Kai id 10495
Company commander Captain Ina Bhat id 13386
Company commander Captain Hugo Blucher id 10131
Company commander Captain Ren Qiao id 1873
Company commander Captain Jayden Watson id 2982
Company commander Captain Kateryna Lambert id 11023
Company commander Captain Ling Ggim id 14172
Company commander Captain Sophia Sanchez id 8589
Company commander Captain Aiden Miller id 7645
Company commander Captain Leon Wimmer id 11166
Company commander Captain Adrian Wouters id 6417
Company commander Captain Aidan Santos id 12039
Company commander Captain Alicia Fleming id 11778
Company commander Captain Alexander Hart id 15019
Company commander Captain Yanis Bauer id 5013
Company commander Captain Amy Newman id 5688
Company commander Captain Lydia Glenn id 11909
Company commander Captain Aslesha Bairaju id 7732
Company commander Captain Avanti Annaladasula id 9162
Company commander Captain Kylee Bell id 5451
Company commander Captain Ion Asparuhov id 12945
Company commander Captain Hang Mao id 8000
Company commander Captain Xie Ci id 4863
Company commander Captain Dou Bi id 12607
Company commander Captain Guo Fan id 2453
Company commander Captain Jonas Pichler id 1284
